index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,18802.0,14630.0,4172.0,22.0,244.0,80.0,522.0,3815.0,20.0,3062.0,32.44,15.0
Mar 2015,22621.0,18428.0,4193.0,19.0,106.0,69.0,611.0,3618.0,27.0,2659.0,27.35,22.0
Mar 2016,26494.0,22234.0,4260.0,16.0,453.0,97.0,759.0,3857.0,22.0,3027.0,30.92,35.0
Mar 2017,29141.0,24956.0,4184.0,14.0,775.0,129.0,978.0,3853.0,26.0,2851.0,28.88,28.0
Mar 2018,30773.0,26063.0,4710.0,15.0,1417.0,162.0,1085.0,4879.0,22.0,3786.0,38.78,33.0
Mar 2019,34742.0,28471.0,6271.0,18.0,534.0,133.0,1129.0,5543.0,23.0,4289.0,43.7,29.0
Mar 2020,36868.0,31365.0,5503.0,15.0,1192.0,192.0,1446.0,5058.0,23.0,3897.0,41.76,32.0
Mar 2021,37855.0,31059.0,6796.0,18.0,788.0,174.0,1458.0,5953.0,27.0,4353.0,45.73,89.0
Mar 2022,44646.0,36626.0,8020.0,18.0,1115.0,163.0,1520.0,7452.0,24.0,5630.0,57.27,47.0
Mar 2023,53290.0,45527.0,7763.0,15.0,965.0,326.0,1957.0,6446.0,25.0,4857.0,49.6,91.0
Mar 2024,51996.0,47489.0,4506.0,9.0,927.0,392.0,1817.0,3224.0,26.0,2397.0,24.14,150.0
Mar 2025,52988.0,46024.0,6964.0,13.0,864.0,322.0,1853.0,5653.0,25.0,4253.0,43.43,94.0
