index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,12116.0,10028.0,2088.0,17.0,324.0,55.0,484.0,1873.0,18.0,1545.0,15.49
Jun 2022,12708.0,10828.0,1880.0,15.0,122.0,40.0,477.0,1486.0,23.0,1148.0,11.64
Sep 2022,13130.0,11185.0,1944.0,15.0,290.0,79.0,492.0,1664.0,22.0,1299.0,13.21
Dec 2022,13735.0,11600.0,2135.0,16.0,247.0,113.0,498.0,1771.0,27.0,1285.0,13.32
Mar 2023,13718.0,11915.0,1803.0,13.0,306.0,93.0,490.0,1525.0,26.0,1125.0,11.47
Jun 2023,13159.0,11821.0,1338.0,10.0,200.0,120.0,447.0,971.0,28.0,704.0,7.1
Sep 2023,12864.0,11950.0,914.0,7.0,264.0,98.0,466.0,615.0,18.0,505.0,5.06
Dec 2023,13101.0,11955.0,1146.0,9.0,92.0,116.0,443.0,679.0,23.0,524.0,5.23
Mar 2024,12871.0,11772.0,1099.0,9.0,380.0,58.0,461.0,959.0,31.0,664.0,6.77
Jun 2024,13006.0,11441.0,1564.0,12.0,147.0,72.0,462.0,1178.0,27.0,865.0,8.71
Sep 2024,13313.0,11563.0,1750.0,13.0,522.0,89.0,470.0,1714.0,27.0,1258.0,12.78
Dec 2024,13286.0,11477.0,1809.0,14.0,23.0,76.0,459.0,1297.0,24.0,989.0,10.05
Mar 2025,13384.0,11545.0,1839.0,14.0,173.0,85.0,462.0,1464.0,22.0,1142.0,11.92
