index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,493,31636,5159,12245,49533,10649,369,6146,32368,49533
Mar 2015,494,36598,7891,13367,58350,10837,395,5532,41586,58350
Mar 2016,494,45651,12522,12924,71590,17279,381,20915,33016,71590
Mar 2017,486,51184,14241,12761,78672,19886,738,29913,28135,78672
Mar 2018,905,47022,13901,13563,75391,18127,1378,25797,30090,75391
Mar 2019,1207,55216,9947,16217,82586,17465,2142,22887,40093,82586
Mar 2020,1143,54179,9724,15954,81000,22062,1881,20032,37024,81000
Mar 2021,1096,53805,10451,17213,82566,23040,1853,18775,38898,82566
Mar 2022,1096,64307,17593,24280,107276,37990,1602,26154,41531,107276
Mar 2023,1098,76570,17467,21789,116924,44757,617,33073,38477,116924
Mar 2024,1045,73488,16465,23611,114609,43628,723,33384,36873,114609
Mar 2025,2094,80270,19204,26618,128185,45187,196,43926,38876,128185
