index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,6790,-284,-3570,2936
Mar 2015,7840,-2537,-830,4474
Mar 2016,7887,-13761,-159,-6032
Mar 2017,9277,-11770,-2275,-4767
Mar 2018,8423,3595,-12998,-979
Mar 2019,11632,5065,-4937,11760
Mar 2020,10064,3593,-15100,-1442
Mar 2021,14755,685,-12884,2556
Mar 2022,11080,-22321,4659,-6583
Mar 2023,13060,-8169,-6088,-1197
Mar 2024,17622,1144,-18257,509
Mar 2025,16943,-8073,-6396,2473
