index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,110,23647,71980,22365,118102,70579,13574,288,33661,118102
Mar 2015,110,25618,83571,21420,130718,83834,6733,744,39407,130718
Mar 2016,110,13268,19169,9132,41679,10473,7705,805,22696,41679
Mar 2017,110,14026,20846,12630,47611,13668,7731,1042,25170,47611
Mar 2018,110,14979,17637,23679,56405,10555,5526,1461,38864,56405
Mar 2019,110,14646,11243,16537,42536,9020,5765,1511,26240,42536
Mar 2020,110,16837,12419,17509,46875,10476,7347,1952,27099,46875
Mar 2021,110,17049,16227,18231,51617,10838,8825,5503,26451,51617
Mar 2022,110,22147,41604,37726,101586,30123,23544,4292,43627,101586
Mar 2023,114,32937,53200,55027,141278,56881,24025,6310,54062,141278
Mar 2024,114,38962,65310,56200,160586,65978,35180,8701,50728,160586
Mar 2025,115,50199,91819,56002,198136,96919,31857,9887,59473,198136
