index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,24866.0,23603.0,1262.0,5.0,276.0,622.0,449.0,468.0,46.0,326.0,2.77
Jun 2022,40844.0,39102.0,1742.0,4.0,222.0,915.0,417.0,632.0,35.0,469.0,4.12
Sep 2022,38175.0,36306.0,1869.0,5.0,266.0,934.0,531.0,670.0,35.0,432.0,4.04
Dec 2022,26612.0,24983.0,1629.0,6.0,339.0,596.0,592.0,780.0,18.0,740.0,7.19
Mar 2023,28944.0,25337.0,3607.0,12.0,-15.0,1525.0,895.0,1172.0,38.0,781.0,6.34
Jun 2023,22644.0,20119.0,2525.0,11.0,370.0,1103.0,714.0,1079.0,33.0,677.0,5.91
Sep 2023,19546.0,17116.0,2430.0,12.0,461.0,1343.0,757.0,791.0,50.0,333.0,2.0
Dec 2023,25050.0,21824.0,3226.0,13.0,491.0,597.0,760.0,2361.0,19.0,1973.0,16.57
Mar 2024,29180.0,25985.0,3195.0,11.0,-176.0,1513.0,811.0,696.0,62.0,352.0,3.95
Jun 2024,25472.0,21767.0,3706.0,15.0,591.0,1130.0,934.0,2232.0,26.0,1772.0,12.76
Sep 2024,22608.0,18842.0,3766.0,17.0,583.0,910.0,1035.0,2403.0,21.0,1989.0,15.28
Dec 2024,22848.0,19778.0,3070.0,13.0,648.0,2141.0,1006.0,572.0,103.0,229.0,0.5
Mar 2025,26966.0,23256.0,3710.0,14.0,4582.0,1796.0,1236.0,5259.0,24.0,4015.0,33.31
