index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,332,2923,8776,1034,13066,5509,4916,62,2579,13066
Mar 2014,332,3228,11084,1059,15704,8554,4487,15,2648,15704
Mar 2015,351,4009,12576,22453,39391,31764,4835,9,2783,39391
Mar 2016,351,4485,15626,21699,42162,35149,4020,36,2957,42162
Mar 2017,351,4920,13963,27406,46641,24388,6806,146,15301,46641
Mar 2018,351,5341,13832,20865,40389,31071,5648,945,2724,40389
Mar 2019,351,5964,16599,17549,40464,32943,3797,645,3079,40464
Mar 2020,351,6331,9205,23997,39885,27671,403,4146,7666,39885
Mar 2021,351,6549,19219,15052,41171,27102,673,4799,8597,41171
Mar 2022,604,11962,16697,13218,42481,27271,63,4904,10243,42481
Mar 2023,604,12775,16748,12575,42703,26480,8,5141,11074,42703
Mar 2024,604,13141,18653,12472,44870,25514,8,9642,9706,44870
Sep 2024,604,13332,18838,12048,44822,25106,14,9213,10489,44822
