index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,3687.0,2048.0,1639.0,44.0,133.0,624.0,442.0,707.0,22.0,554.0,1.67,24.0
Mar 2014,3732.0,1973.0,1759.0,47.0,120.0,760.0,477.0,642.0,28.0,460.0,1.38,29.0
Mar 2015,3849.0,1631.0,2218.0,58.0,113.0,937.0,707.0,686.0,21.0,542.0,1.54,26.0
Mar 2016,5128.0,2461.0,2667.0,52.0,127.0,1070.0,853.0,870.0,26.0,640.0,1.82,22.0
Mar 2017,5846.0,2789.0,3057.0,52.0,123.0,1342.0,855.0,984.0,27.0,715.0,2.04,25.0
Mar 2018,5694.0,3005.0,2689.0,47.0,295.0,976.0,544.0,1464.0,37.0,920.0,2.62,19.0
Mar 2019,6707.0,3763.0,2944.0,44.0,196.0,1126.0,540.0,1473.0,42.0,850.0,2.42,10.0
Mar 2020,6852.0,3887.0,2965.0,43.0,252.0,1574.0,468.0,1175.0,39.0,721.0,2.05,24.0
Mar 2021,5299.0,2947.0,2352.0,44.0,189.0,1697.0,582.0,262.0,55.0,117.0,0.33,0.0
Mar 2022,5804.0,3229.0,2575.0,44.0,552.0,1894.0,683.0,550.0,34.0,361.0,0.6,0.0
Mar 2023,6402.0,3271.0,3130.0,49.0,300.0,1521.0,832.0,1077.0,33.0,720.0,1.19,17.0
Mar 2024,7409.0,4387.0,3022.0,41.0,793.0,1868.0,995.0,951.0,36.0,606.0,1.0,30.0
TTM,7525.0,4300.0,3225.0,43.0,6597.0,1949.0,1026.0,6848.0,,6455.0,10.69,
