index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,1279.0,637.0,642.0,50.0,219.0,547.0,192.0,121.0,40.0,73.0,0.12
Mar 2022,1434.0,852.0,581.0,41.0,249.0,399.0,189.0,242.0,28.0,174.0,0.29
Jun 2022,1925.0,897.0,1027.0,53.0,71.0,385.0,203.0,510.0,29.0,363.0,0.6
Sep 2022,1343.0,702.0,641.0,48.0,96.0,389.0,192.0,155.0,45.0,85.0,0.14
Dec 2022,1514.0,782.0,732.0,48.0,56.0,367.0,215.0,206.0,31.0,141.0,0.23
Mar 2023,1620.0,898.0,722.0,45.0,79.0,373.0,222.0,205.0,37.0,130.0,0.22
Jun 2023,1634.0,910.0,724.0,44.0,111.0,381.0,237.0,217.0,38.0,134.0,0.22
Sep 2023,1745.0,1026.0,719.0,41.0,130.0,435.0,233.0,182.0,47.0,96.0,0.16
Dec 2023,1969.0,1150.0,819.0,42.0,109.0,433.0,251.0,243.0,23.0,187.0,0.31
Mar 2024,2061.0,1307.0,755.0,37.0,443.0,615.0,274.0,309.0,39.0,189.0,0.31
Jun 2024,1853.0,1049.0,804.0,43.0,119.0,439.0,255.0,229.0,39.0,140.0,0.23
Sep 2024,1586.0,903.0,683.0,43.0,166.0,434.0,231.0,183.0,46.0,100.0,0.17
Dec 2024,2025.0,1041.0,984.0,49.0,5869.0,461.0,265.0,6127.0,2.0,6026.0,9.98
