index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,185,37526,80846,50324,168881,32397,14179,8109,114197,168881
Mar 2015,186,40723,93630,58727,193266,34738,14993,9612,133923,193266
Mar 2016,186,43994,88135,61775,194091,14176,10974,15465,153475,194091
Mar 2017,187,50030,93954,67400,211571,16677,13298,19753,161843,211571
Mar 2018,280,54623,107524,80812,243240,18580,13443,15311,195905,243240
Mar 2019,281,62094,125555,90106,278036,21194,13919,20907,222016,278036
Mar 2020,281,66442,143174,96790,306687,43653,3311,20047,239675,306687
Mar 2021,281,75588,134629,99597,310095,44319,500,39627,225649,310095
Mar 2022,281,82127,125508,111112,319028,42945,1250,39395,235438,319028
Mar 2023,281,89045,120650,119745,329722,42641,3066,44798,239217,329722
Mar 2024,275,86084,116322,136412,339094,42964,3045,45648,247437,339094
Mar 2025,275,97381,132409,149460,379524,44253,2391,54805,278075,379524
