index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,-7143,-5510,13136,483
Mar 2015,-1365,-4778,7903,1759
Mar 2016,-3240,-4627,7253,-613
Mar 2017,6655,-9796,2896,-245
Mar 2018,-10031,3914,9370,3254
Mar 2019,-4756,-11023,15440,-338
Mar 2020,6694,-8408,6372,4658
Mar 2021,23074,-5750,-15274,2049
Mar 2022,19164,-3585,-15181,397
Mar 2023,22777,-8048,-11572,3156
Mar 2024,18266,2179,-25413,-4968
Mar 2025,9161,-15518,6557,200
