index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,85054.0,70968.0,14086.0,17.0,1337.0,6494.0,1446.0,7483.0,35.0,4885.0,35.41,27.0
Mar 2015,91929.0,76245.0,15684.0,17.0,1422.0,7266.0,2623.0,7217.0,31.0,4966.0,34.17,32.0
Mar 2016,101122.0,85637.0,15486.0,15.0,1219.0,6899.0,1787.0,8020.0,30.0,4592.0,30.64,40.0
Mar 2017,109312.0,92691.0,16620.0,15.0,1466.0,6829.0,2370.0,8887.0,23.0,6486.0,43.17,22.0
Mar 2018,119683.0,99572.0,20111.0,17.0,1465.0,7714.0,2223.0,11639.0,27.0,8004.0,52.59,30.0
Mar 2019,135220.0,112354.0,22866.0,17.0,2701.0,9339.0,1923.0,14305.0,28.0,10217.0,63.48,28.0
Mar 2020,145452.0,120899.0,24553.0,17.0,3015.0,11021.0,2462.0,14086.0,23.0,10894.0,68.02,26.0
Mar 2021,135979.0,112519.0,23460.0,17.0,8111.0,11750.0,2904.0,16918.0,24.0,12921.0,82.47,44.0
Mar 2022,156521.0,132207.0,24314.0,16.0,2364.0,9235.0,2948.0,14495.0,29.0,10419.0,61.7,36.0
Mar 2023,183341.0,156175.0,27166.0,15.0,2891.0,9445.0,3502.0,17109.0,26.0,12531.0,74.5,32.0
Mar 2024,221113.0,191248.0,29865.0,14.0,3847.0,9512.0,3682.0,20517.0,24.0,15547.0,95.0,36.0
Mar 2025,255734.0,222997.0,32737.0,13.0,4600.0,9637.0,4121.0,23579.0,25.0,17673.0,109.35,31.0
