index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,52851.0,44892.0,7959.0,15.0,516.0,2147.0,769.0,5558.0,28.0,4138.0,25.77
Jun 2022,35853.0,30443.0,5410.0,15.0,695.0,2212.0,963.0,2929.0,22.0,2228.0,12.11
Sep 2022,42763.0,36400.0,6362.0,15.0,739.0,2304.0,860.0,3937.0,28.0,2785.0,15.86
Dec 2022,46390.0,39736.0,6653.0,14.0,891.0,2383.0,825.0,4336.0,29.0,3058.0,18.17
Mar 2023,58335.0,49981.0,8354.0,14.0,741.0,2334.0,854.0,5907.0,25.0,4459.0,28.37
Jun 2023,47882.0,41566.0,6316.0,13.0,1146.0,2299.0,830.0,4332.0,28.0,3096.0,17.74
Sep 2023,51024.0,43984.0,7040.0,14.0,1133.0,2272.0,910.0,4991.0,23.0,3846.0,23.45
Dec 2023,55128.0,47929.0,7199.0,13.0,838.0,2344.0,921.0,4772.0,25.0,3593.0,21.44
Mar 2024,67079.0,58426.0,8653.0,13.0,1135.0,2345.0,1021.0,6422.0,22.0,5013.0,31.98
Jun 2024,55120.0,48074.0,7046.0,13.0,921.0,2292.0,998.0,4677.0,26.0,3445.0,20.26
Sep 2024,61555.0,53638.0,7917.0,13.0,1101.0,2439.0,1024.0,5555.0,26.0,4099.0,24.69
Dec 2024,64668.0,56770.0,7898.0,12.0,968.0,2486.0,1047.0,5333.0,25.0,3974.0,24.43
Mar 2025,74392.0,64516.0,9876.0,13.0,1610.0,2419.0,1052.0,8014.0,23.0,6156.0,39.97
