index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,51,2645,3909,4585,11190,2809,7,671,7703,11190
Mar 2014,51,2715,3914,5435,12115,2608,24,1108,8375,12115
Mar 2015,111,3291,3390,5753,12545,2446,11,1133,8955,12545
Mar 2016,111,3281,3208,5721,12321,1674,8,1128,9510,12321
Mar 2017,111,3336,2572,5090,11109,1099,1,729,9281,11109
Mar 2018,120,3962,2061,6265,12408,1158,23,619,10608,12408
Mar 2019,120,4475,2691,7374,14660,1551,13,475,12621,14660
Mar 2020,122,4784,2181,6724,13812,1413,15,448,11935,13812
Mar 2021,122,5049,2062,6307,13540,1417,22,440,11661,13540
Mar 2022,122,5481,1302,7553,14458,1443,7,346,12662,14458
Mar 2023,126,6041,974,9409,16550,1503,22,352,14673,16550
Mar 2024,126,6514,980,10475,18095,1565,41,155,16334,18095
Sep 2024,126,6745,1726,11064,19662,1598,41,149,17873,19662
