index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,6968.0,6146.0,823.0,12.0,91.0,595.0,228.0,90.0,42.0,45.0,1.01,14.0
Mar 2014,7272.0,6514.0,758.0,10.0,105.0,654.0,235.0,-27.0,-138.0,-9.0,0.06,156.0
Mar 2015,9513.0,8513.0,1000.0,11.0,127.0,737.0,277.0,113.0,45.0,48.0,0.97,41.0
Mar 2016,9527.0,8540.0,987.0,10.0,71.0,643.0,248.0,167.0,51.0,82.0,2.17,28.0
Mar 2017,9001.0,8326.0,675.0,8.0,87.0,513.0,203.0,46.0,82.0,8.0,0.57,70.0
Mar 2018,8391.0,7518.0,873.0,10.0,-23.0,460.0,172.0,219.0,37.0,139.0,2.81,36.0
Mar 2019,12896.0,11303.0,1592.0,12.0,17.0,522.0,193.0,894.0,37.0,568.0,9.63,16.0
Mar 2020,8901.0,7824.0,1077.0,12.0,63.0,554.0,199.0,387.0,19.0,314.0,5.52,4.0
Mar 2021,7949.0,7030.0,919.0,12.0,105.0,480.0,181.0,363.0,22.0,283.0,4.4,18.0
Mar 2022,11138.0,10110.0,1028.0,9.0,272.0,478.0,187.0,635.0,22.0,494.0,7.91,25.0
Mar 2023,15553.0,14094.0,1459.0,9.0,144.0,515.0,203.0,885.0,27.0,646.0,9.7,23.0
Mar 2024,20845.0,19076.0,1769.0,8.0,99.0,595.0,212.0,1061.0,30.0,740.0,11.32,19.0
TTM,22553.0,20641.0,1912.0,8.0,121.0,641.0,214.0,1178.0,,842.0,12.83,
