index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,3015.0,2739.0,276.0,9.0,18.0,121.0,47.0,126.0,33.0,84.0,1.25
Mar 2022,3477.0,3208.0,269.0,8.0,187.0,127.0,46.0,283.0,17.0,234.0,3.97
Jun 2022,3321.0,3013.0,308.0,9.0,32.0,111.0,48.0,181.0,24.0,137.0,2.09
Sep 2022,3373.0,3063.0,310.0,9.0,32.0,123.0,50.0,169.0,19.0,138.0,2.09
Dec 2022,3910.0,3533.0,376.0,10.0,56.0,138.0,52.0,242.0,30.0,168.0,2.51
Mar 2023,4949.0,4484.0,465.0,9.0,24.0,143.0,53.0,293.0,31.0,203.0,3.04
Jun 2023,4380.0,3971.0,409.0,9.0,28.0,132.0,53.0,252.0,27.0,184.0,2.76
Sep 2023,4720.0,4416.0,304.0,6.0,28.0,153.0,53.0,125.0,31.0,86.0,1.23
Dec 2023,5260.0,4755.0,505.0,10.0,29.0,156.0,53.0,325.0,29.0,231.0,3.51
Mar 2024,6485.0,5934.0,551.0,8.0,13.0,153.0,52.0,358.0,33.0,239.0,3.81
Jun 2024,5528.0,5050.0,478.0,9.0,31.0,155.0,54.0,300.0,26.0,223.0,3.34
Sep 2024,5196.0,4753.0,443.0,9.0,29.0,167.0,55.0,250.0,30.0,175.0,2.6
Dec 2024,5345.0,4904.0,441.0,8.0,48.0,166.0,54.0,270.0,24.0,206.0,3.08
