index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,6316,36088,178,62356,104938,14784,4316,3775,82063,104938
Mar 2015,6316,34037,408,70505,111267,16115,5159,2813,87179,111267
Mar 2016,6316,28517,1199,77528,113560,22082,4553,2906,84018,113560
Mar 2017,6207,18311,3014,91054,118587,23811,8585,1483,84708,118587
Mar 2018,6207,13971,1538,103754,125471,27574,10273,1704,85920,125471
Mar 2019,6163,20292,2210,104356,133021,32618,9658,3170,87576,133021
Mar 2020,6163,25994,6434,111430,150020,36784,8328,1973,102936,150020
Mar 2021,6163,30355,5884,118649,161051,42405,10490,5950,102206,161051
Mar 2022,6163,36980,3514,132780,179436,46677,12897,8921,110942,179436
Mar 2023,6163,54680,4331,156222,221396,64547,17622,7139,132087,221396
Mar 2024,6163,76567,6523,147217,236470,75668,18960,7110,134731,236470
Mar 2025,6163,92942,9146,151948,260198,89361,15889,7591,147357,260198
