index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,14525,8580,-25350,-2246
Mar 2015,14382,894,-15026,250
Mar 2016,13154,8154,-19587,1721
Mar 2017,16461,455,-17598,-682
Mar 2018,21115,-7747,-13564,-196
Mar 2019,16356,-7896,-10885,-2426
Mar 2020,4977,1033,-4791,1219
Mar 2021,10592,182,-8453,2321
Mar 2022,41107,-25715,-13441,1951
Mar 2023,35734,-23465,-13704,-1436
Mar 2024,18103,-4486,-13899,-282
Mar 2025,29200,-10076,-13308,5815
