index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,191,35139,56951,28309,120590,37929,33834,12601,36226,120590
Mar 2014,206,40398,64756,32621,137982,61163,23059,12961,40798,137982
Mar 2015,207,38122,68468,34950,141746,71959,14111,12346,43330,141746
Mar 2016,207,40402,67552,32986,141146,85648,4214,12463,38821,141146
Mar 2017,223,45836,63817,36268,146144,84687,1814,15157,44486,146144
Mar 2018,223,54629,52074,40088,147014,85088,2063,10781,49081,147014
Mar 2019,222,57279,52415,42056,151972,85860,4097,9012,53003,151972
Mar 2020,222,58095,68399,41902,168618,89195,7721,9411,62291,168618
Mar 2021,222,66311,67206,55083,188822,100269,10202,17133,61218,188822
Mar 2022,222,77969,64486,79178,221855,106874,4945,14119,95917,221855
Mar 2023,222,94584,60291,68392,223489,110626,7700,14116,91047,223489
Mar 2024,222,105924,56356,68221,230723,111810,14867,15444,88602,230723
Sep 2024,222,114954,60959,76129,252264,111404,22341,22453,96066,252264
