index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,2977,-13801,10278,-545
Mar 2014,7956,-8095,1493,1353
Mar 2015,7143,-3873,-2437,833
Mar 2016,11688,-3220,-8862,-394
Mar 2017,12687,-2876,-5552,4259
Mar 2018,10898,5333,-16412,-181
Mar 2019,11977,-5456,-5466,1055
Mar 2020,12745,-7227,6656,12174
Mar 2021,17232,-25280,-4882,-12930
Mar 2022,16838,-6773,-6765,3300
Mar 2023,19208,-7559,-10450,1199
Mar 2024,24056,-14267,-10817,-1028
