index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,80193.0,72494.0,7699.0,10.0,1111.0,2079.0,2822.0,3909.0,23.0,3007.0,15.81,6.0
Mar 2014,87695.0,79671.0,8024.0,9.0,677.0,2702.0,3347.0,2653.0,20.0,2195.0,10.53,9.0
Mar 2015,104281.0,95437.0,8844.0,8.0,-832.0,4178.0,3493.0,340.0,75.0,259.0,4.14,24.0
Mar 2016,98759.0,90981.0,7778.0,8.0,1500.0,5134.0,4347.0,-203.0,245.0,-702.0,-1.21,-82.0
Mar 2017,100184.0,87867.0,12317.0,12.0,1198.0,5742.0,4457.0,3315.0,43.0,1882.0,8.47,13.0
Mar 2018,115183.0,101488.0,13695.0,12.0,2879.0,3911.0,4506.0,8157.0,25.0,6083.0,27.1,4.0
Mar 2019,130542.0,115031.0,15511.0,12.0,1127.0,3778.0,4777.0,8083.0,32.0,5495.0,24.48,5.0
Mar 2020,118144.0,103838.0,14306.0,12.0,906.0,4197.0,5091.0,5924.0,36.0,3767.0,16.77,6.0
Mar 2021,132008.0,114449.0,17559.0,13.0,-987.0,3738.0,6628.0,6206.0,44.0,3483.0,15.5,19.0
Mar 2022,195059.0,166712.0,28347.0,15.0,1253.0,3768.0,6729.0,19103.0,28.0,13730.0,61.1,6.0
Mar 2023,223202.0,200536.0,22666.0,10.0,1307.0,3646.0,7086.0,13241.0,24.0,10097.0,44.93,7.0
Mar 2024,215962.0,192090.0,23872.0,11.0,1519.0,3858.0,7521.0,14012.0,28.0,10155.0,45.19,8.0
TTM,229600.0,199951.0,29649.0,13.0,1488.0,3433.0,7781.0,19923.0,,13892.0,61.81,
