index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,50272.0,42960.0,7312.0,15.0,436.0,852.0,1683.0,5213.0,30.0,3675.0,16.35
Mar 2022,55764.0,48460.0,7304.0,13.0,34.0,805.0,1761.0,4772.0,19.0,3851.0,17.14
Jun 2022,58018.0,49589.0,8429.0,15.0,255.0,847.0,1749.0,6088.0,32.0,4119.0,18.33
Sep 2022,56176.0,50814.0,5362.0,10.0,330.0,879.0,1713.0,3100.0,29.0,2205.0,9.81
Dec 2022,53151.0,49603.0,3548.0,7.0,368.0,934.0,1768.0,1214.0,-12.0,1362.0,6.06
Mar 2023,55857.0,50530.0,5327.0,10.0,354.0,986.0,1856.0,2839.0,15.0,2411.0,10.73
Jun 2023,52991.0,47277.0,5714.0,11.0,381.0,992.0,1786.0,3317.0,26.0,2454.0,10.92
Sep 2023,54169.0,48557.0,5612.0,10.0,496.0,1034.0,1843.0,3231.0,32.0,2196.0,9.77
Dec 2023,52808.0,46943.0,5865.0,11.0,281.0,944.0,1874.0,3328.0,30.0,2331.0,10.37
Mar 2024,55994.0,49314.0,6680.0,12.0,362.0,888.0,2018.0,4136.0,23.0,3174.0,14.12
Jun 2024,57013.0,49510.0,7503.0,13.0,96.0,859.0,1892.0,4848.0,37.0,3074.0,13.68
Sep 2024,58203.0,50320.0,7883.0,14.0,561.0,869.0,1932.0,5643.0,31.0,3909.0,17.39
Dec 2024,58390.0,50807.0,7583.0,13.0,469.0,817.0,1939.0,5296.0,29.0,3735.0,16.62
