index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,284,16781,21625,18823,57513,34717,5898,1750,15148,57513
Mar 2014,303,20871,35527,20939,77640,47046,9400,663,20531,77640
Mar 2015,303,21987,38754,24610,85654,52176,8265,599,24613,85654
Mar 2016,301,18665,42204,20737,81907,56140,7271,1195,17302,81907
Mar 2017,301,22346,43334,22024,88005,58730,4363,1366,23546,88005
Mar 2018,302,27696,39393,24579,91970,57848,5950,1469,26703,91970
Mar 2019,301,34494,47396,32606,114797,62644,11889,1894,38370,114797
Mar 2020,301,36298,61423,33798,131820,62085,27191,1259,41285,131820
Mar 2021,302,46462,62392,39161,148317,64917,32566,8581,42253,148317
Mar 2022,301,66996,72237,56951,196485,99880,16905,4940,74760,196485
Mar 2023,301,65394,80853,63991,210539,104452,22166,4806,79115,210539
Mar 2024,305,77364,87984,62245,227898,112461,29676,7246,78515,227898
Sep 2024,305,79361,95258,58244,233168,114294,29555,10740,78579,233168
