index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,5844,-5433,-791,-380
Mar 2014,2594,-5618,3300,276
Mar 2015,7876,-7372,-169,334
Mar 2016,6897,-3857,-3151,-111
Mar 2017,7888,-5094,-2710,84
Mar 2018,12379,-4529,-8185,-335
Mar 2019,14633,-11387,1753,4999
Mar 2020,12785,-19589,5189,-1615
Mar 2021,18789,-7702,-3110,7977
Mar 2022,26270,-14748,-14657,-3135
Mar 2023,23323,-10730,-5977,6616
Mar 2024,12078,-14467,-5005,-7394
