index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,38210.0,31698.0,6512.0,17.0,-307.0,1967.0,2237.0,1999.0,42.0,929.0,4.32,30.0
Mar 2014,51220.0,42051.0,9169.0,18.0,-1630.0,3048.0,3183.0,1308.0,70.0,402.0,1.87,74.0
Mar 2015,52972.0,43608.0,9364.0,18.0,103.0,3493.0,3434.0,2539.0,32.0,1722.0,7.43,19.0
Mar 2016,41546.0,35124.0,6422.0,15.0,-1966.0,3601.0,3323.0,-2468.0,-80.0,-481.0,-1.39,-67.0
Mar 2017,55604.0,43296.0,12308.0,22.0,18.0,3768.0,3430.0,5128.0,33.0,3467.0,14.57,19.0
Mar 2018,71933.0,57017.0,14916.0,21.0,-177.0,3701.0,3387.0,7651.0,20.0,6113.0,25.71,16.0
Mar 2019,84757.0,65827.0,18930.0,22.0,196.0,3917.0,4041.0,11168.0,33.0,7524.0,31.6,16.0
Mar 2020,73326.0,61513.0,11813.0,16.0,-289.0,4265.0,4246.0,3013.0,-30.0,3919.0,16.67,15.0
Mar 2021,79839.0,59661.0,20178.0,25.0,473.0,3957.0,4679.0,12015.0,34.0,7873.0,32.73,25.0
Mar 2022,146371.0,107257.0,39114.0,27.0,1600.0,4968.0,6001.0,29745.0,30.0,20938.0,85.49,25.0
Mar 2023,165960.0,147490.0,18470.0,11.0,1561.0,6902.0,7474.0,5655.0,27.0,4139.0,17.14,25.0
Mar 2024,175006.0,146849.0,28157.0,16.0,1500.0,8105.0,8172.0,13380.0,33.0,8973.0,36.03,25.0
TTM,170274.0,147796.0,22478.0,13.0,267.0,8380.0,9006.0,5359.0,,3312.0,13.5,
