index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,38071.0,28939.0,9132.0,24.0,176.0,1283.0,1764.0,6261.0,28.0,4516.0,18.02
Mar 2022,46895.0,37742.0,9153.0,20.0,-508.0,1756.0,1815.0,5074.0,34.0,3343.0,13.38
Jun 2022,38086.0,33794.0,4292.0,11.0,189.0,1422.0,1778.0,1281.0,34.0,839.0,3.47
Sep 2022,41778.0,40082.0,1696.0,4.0,779.0,1523.0,1805.0,-853.0,7.0,-915.0,-3.51
Dec 2022,39134.0,34643.0,4491.0,11.0,188.0,1819.0,1882.0,978.0,52.0,474.0,2.03
Mar 2023,46962.0,39031.0,7931.0,17.0,465.0,2138.0,2009.0,4249.0,12.0,3741.0,15.16
Jun 2023,42213.0,35201.0,7012.0,17.0,331.0,1963.0,1900.0,3480.0,30.0,2428.0,9.67
Sep 2023,44584.0,36722.0,7862.0,18.0,826.0,2084.0,2019.0,4585.0,40.0,2773.0,11.29
Dec 2023,41940.0,34776.0,7164.0,17.0,194.0,1996.0,2059.0,3303.0,26.0,2450.0,9.88
Mar 2024,46269.0,40243.0,6026.0,13.0,242.0,2062.0,2194.0,2012.0,34.0,1322.0,5.31
Jun 2024,42943.0,37445.0,5498.0,13.0,164.0,2073.0,2209.0,1380.0,37.0,867.0,3.46
Sep 2024,39684.0,34309.0,5375.0,14.0,-189.0,2130.0,2267.0,789.0,49.0,404.0,1.8
Dec 2024,41378.0,35799.0,5579.0,13.0,50.0,2115.0,2336.0,1178.0,39.0,719.0,2.93
