index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,396,27122,0,3277,30796,1267,3247,261,26021,30796
Mar 2014,396,29550,0,1497,31444,1366,5297,219,24561,31444
Mar 2015,396,31870,0,2197,34464,1468,7801,319,24876,34464
Mar 2016,396,28784,1497,2079,32756,2058,9747,592,20359,32756
Mar 2017,316,22266,0,3201,25784,2095,11855,612,11221,25784
Mar 2018,316,24101,500,3774,28691,3457,12545,673,12016,28691
Mar 2019,306,25738,364,3483,29891,3512,13819,859,11701,29891
Mar 2020,306,27367,566,3056,31294,3810,15530,910,11045,31294
Mar 2021,293,29591,2000,5045,36930,3933,17158,875,14964,36930
Mar 2022,293,17725,1800,5094,24912,3662,1333,895,19022,24912
Mar 2023,293,22328,2128,5204,29953,3199,1998,940,23816,29953
Mar 2024,293,25363,3359,6646,35661,3377,3235,956,28094,35661
Sep 2024,293,28076,4158,7394,39920,5056,3760,964,30140,39920
