index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,5874.0,3263.0,2611.0,44.0,153.0,9.0,61.0,2694.0,24.0,2048.0,2.33
Mar 2022,6785.0,4061.0,2725.0,40.0,332.0,25.0,112.0,2920.0,36.0,1866.0,2.12
Jun 2022,4767.0,2869.0,1898.0,40.0,146.0,15.0,85.0,1944.0,24.0,1445.0,1.64
Sep 2022,3328.0,2477.0,851.0,26.0,426.0,18.0,74.0,1185.0,25.0,972.0,1.11
Dec 2022,3720.0,2579.0,1141.0,31.0,205.0,30.0,84.0,1232.0,27.0,914.0,1.04
Mar 2023,5851.0,3689.0,2162.0,37.0,1228.0,12.0,93.0,3285.0,31.0,2272.0,2.58
Jun 2023,5395.0,3401.0,1994.0,37.0,294.0,6.0,69.0,2212.0,25.0,1653.0,1.88
Sep 2023,4014.0,2824.0,1190.0,30.0,321.0,19.0,89.0,1404.0,27.0,1026.0,1.17
Dec 2023,5410.0,3403.0,2007.0,37.0,84.0,32.0,82.0,1977.0,26.0,1482.0,1.69
Mar 2024,6489.0,4388.0,2102.0,32.0,389.0,21.0,111.0,2359.0,40.0,1410.0,1.61
Jun 2024,5414.0,3074.0,2340.0,43.0,365.0,23.0,74.0,2608.0,25.0,1969.0,2.24
Sep 2024,4919.0,3533.0,1386.0,28.0,361.0,29.0,103.0,1614.0,26.0,1205.0,1.38
Dec 2024,6568.0,4196.0,2372.0,36.0,375.0,61.0,103.0,2584.0,27.0,1880.0,2.14
