index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,4131,37514,22539,22506,86689,18384,36161,73,32071,86689
Mar 2014,4131,39154,26020,24767,94072,28175,33958,91,31847,94072
Mar 2015,4131,39641,32146,26932,102849,39011,29328,61,34450,102849
Mar 2016,4131,36021,35141,26234,101527,45942,24927,2280,28377,101527
Mar 2017,4131,32912,41396,29405,107843,50300,23275,2475,31792,107843
Mar 2018,4131,32816,45409,33339,115694,58625,18395,2629,36044,115694
Mar 2019,4131,35516,45170,33385,118201,61374,16014,2975,37838,118201
Mar 2020,4131,37380,54127,31560,127198,69034,8753,3240,46170,127198
Mar 2021,4131,41276,37677,35007,118090,67618,8881,3442,38149,118090
Mar 2022,4131,50081,17284,48885,120381,73677,4710,3757,38237,120381
Mar 2023,4131,50616,30773,45262,130782,73543,4891,4185,48163,130782
Mar 2024,4131,52971,36323,47598,141022,72426,6141,4589,57867,141022
Sep 2024,4131,53458,41265,40889,139742,71755,6443,4776,56768,139742
