index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,44891.0,39982.0,4910.0,11.0,923.0,846.0,1527.0,3460.0,33.0,2329.0,5.64,35.0
Mar 2014,46804.0,42646.0,4157.0,9.0,2071.0,1047.0,1836.0,3346.0,21.0,2652.0,6.42,31.0
Mar 2015,46032.0,41217.0,4815.0,10.0,892.0,1555.0,1907.0,2245.0,14.0,1939.0,4.93,41.0
Mar 2016,38793.0,41628.0,-2834.0,-7.0,425.0,2300.0,2404.0,-7114.0,-41.0,-4176.0,-10.11,0.0
Mar 2017,44210.0,44094.0,115.0,0.0,378.0,2528.0,2682.0,-4716.0,-42.0,-2756.0,-6.67,0.0
Mar 2018,57496.0,52788.0,4708.0,8.0,654.0,2823.0,3066.0,-527.0,-47.0,-281.0,-0.68,0.0
Mar 2019,66973.0,57167.0,9807.0,15.0,283.0,3155.0,3385.0,3549.0,34.0,2349.0,5.69,9.0
Mar 2020,61664.0,51400.0,10264.0,17.0,280.0,3487.0,3756.0,3302.0,36.0,2121.0,5.13,0.0
Mar 2021,69114.0,56337.0,12776.0,18.0,1349.0,2817.0,4103.0,7206.0,42.0,4148.0,10.04,28.0
Mar 2022,103477.0,82114.0,21363.0,21.0,902.0,1698.0,4275.0,16292.0,25.0,12243.0,29.64,30.0
Mar 2023,104448.0,96410.0,8038.0,8.0,1856.0,2037.0,4964.0,2892.0,25.0,2177.0,5.27,28.0
Mar 2024,105378.0,94229.0,11149.0,11.0,665.0,2474.0,5278.0,4062.0,24.0,3067.0,7.42,27.0
TTM,101121.0,90476.0,10645.0,11.0,644.0,2771.0,5483.0,3036.0,,2246.0,5.44,
