index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,25247.0,21845.0,3402.0,13.0,-31.0,316.0,1049.0,2006.0,24.0,1529.0,3.7
Mar 2022,30759.0,26421.0,4338.0,14.0,525.0,440.0,1144.0,3279.0,24.0,2479.0,6.0
Jun 2022,24029.0,21727.0,2302.0,10.0,314.0,374.0,1194.0,1047.0,23.0,804.0,1.95
Sep 2022,26246.0,25511.0,735.0,3.0,512.0,506.0,1183.0,-443.0,-26.0,-329.0,-0.8
Dec 2022,25042.0,22964.0,2079.0,8.0,509.0,640.0,1221.0,726.0,25.0,542.0,1.31
Mar 2023,29131.0,26206.0,2924.0,10.0,519.0,517.0,1365.0,1562.0,26.0,1159.0,2.81
Jun 2023,24359.0,22710.0,1649.0,7.0,527.0,613.0,1275.0,288.0,26.0,212.0,0.51
Sep 2023,29712.0,25837.0,3875.0,13.0,-174.0,605.0,1327.0,1770.0,26.0,1306.0,3.16
Dec 2023,23349.0,21206.0,2142.0,9.0,355.0,614.0,1321.0,563.0,25.0,423.0,1.02
Mar 2024,27959.0,24476.0,3483.0,12.0,-43.0,642.0,1356.0,1441.0,22.0,1126.0,2.73
Jun 2024,23998.0,21778.0,2220.0,9.0,-28.0,691.0,1402.0,98.0,17.0,82.0,0.2
Sep 2024,24675.0,21762.0,2913.0,12.0,322.0,758.0,1304.0,1173.0,24.0,897.0,2.17
Dec 2024,24490.0,22460.0,2030.0,8.0,393.0,680.0,1421.0,323.0,56.0,142.0,0.34
