index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,971,39561,81629,49443,171604,74907,26822,5093,64781,171604
Mar 2015,971,30378,80701,47059,159109,68100,28678,3455,58876,159109
Mar 2016,970,42762,81987,51165,176884,72200,35996,10714,57974,176884
Mar 2017,970,36849,83014,51614,172447,92007,15784,12457,52200,172447
Mar 2018,1145,59726,92147,55704,208722,96105,16614,17899,78103,208722
Mar 2019,1145,67780,100816,63032,232773,124442,18641,5738,83952,232773
Mar 2020,1145,72431,116328,59245,249149,134551,19497,6285,88816,249149
Mar 2021,1198,73041,88501,81169,243909,135775,19007,10682,78445,243909
Mar 2022,1221,113222,75561,92417,282422,133288,22046,13140,113948,282422
Mar 2023,1221,101861,84893,97421,285396,146621,31213,8410,99151,285396
Mar 2024,1247,90788,87082,90195,269312,148814,34356,6258,79885,269312
Mar 2025,1247,89922,94801,93424,279395,151935,40602,6194,80664,279395
