index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,13146,-15378,1015,-1218
Mar 2015,11880,-9021,-2617,241
Mar 2016,11455,-8794,-4729,-2068
Mar 2017,10824,-9490,-2579,-1245
Mar 2018,8023,-11730,6640,2933
Mar 2019,25336,-29176,-673,-4513
Mar 2020,20169,-14012,-1695,4462
Mar 2021,44327,-9437,-37090,-2200
Mar 2022,44381,-10905,-23401,10075
Mar 2023,21683,-18179,-6981,-3477
Mar 2024,20301,-14253,-11097,-5049
Mar 2025,23512,-14173,-7002,2337
