index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,69324.0,54294.0,15030.0,22.0,177.0,1099.0,2243.0,11865.0,17.0,9835.0,7.99
Jun 2022,63430.0,48457.0,14973.0,24.0,388.0,1218.0,2237.0,11906.0,35.0,7714.0,6.36
Sep 2022,59878.0,53817.0,6060.0,10.0,412.0,1519.0,2348.0,2605.0,50.0,1297.0,1.24
Dec 2022,57084.0,53036.0,4048.0,7.0,491.0,1768.0,2368.0,403.0,721.0,-2502.0,-1.82
Mar 2023,62962.0,55742.0,7219.0,11.0,277.0,1794.0,2382.0,3321.0,53.0,1566.0,1.4
Jun 2023,59490.0,54587.0,4903.0,8.0,1190.0,1825.0,2412.0,1855.0,72.0,525.0,0.52
Sep 2023,55682.0,51414.0,4268.0,8.0,-6568.0,1959.0,2480.0,-6739.0,-3.0,-6511.0,-5.07
Dec 2023,55312.0,49048.0,6264.0,11.0,-33.0,1881.0,2422.0,1928.0,73.0,522.0,0.42
Mar 2024,58687.0,52087.0,6601.0,11.0,-382.0,1842.0,2568.0,1809.0,69.0,555.0,0.49
Jun 2024,54771.0,48077.0,6694.0,12.0,-6.0,1777.0,2535.0,2377.0,61.0,919.0,0.77
Sep 2024,53905.0,47789.0,6116.0,11.0,617.0,1971.0,2597.0,2164.0,65.0,759.0,0.67
Dec 2024,53648.0,47745.0,5903.0,11.0,142.0,1804.0,2569.0,1672.0,82.0,295.0,0.26
Mar 2025,56218.0,49659.0,6559.0,12.0,149.0,1789.0,2720.0,2200.0,45.0,1201.0,1.04
