index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,296,72712,80566,60545,214120,87205,43128,37910,45877,214120
Mar 2015,296,53579,77752,58654,190281,70108,38748,39606,41819,190281
Mar 2016,296,43743,67778,80163,191980,67231,38461,53386,32903,191980
Mar 2017,297,60128,71569,64952,196946,76756,27557,46962,45671,196946
Mar 2018,372,62940,58159,58896,180367,80279,32055,28700,39333,180367
Mar 2019,372,61925,66226,70045,198568,96397,24959,33065,44147,198568
Mar 2020,372,54263,59187,66915,180737,88904,18585,24753,48495,180737
Mar 2021,372,61906,57669,63549,183496,90470,16314,16660,60052,183496
Mar 2022,372,65011,53583,74981,193947,93466,15879,17291,67311,193947
Mar 2023,372,39051,80329,69703,189455,95744,19529,13150,61032,189455
Mar 2024,372,30350,87706,69690,188118,98963,22889,11869,54397,188118
Mar 2025,391,40821,75186,86895,203293,102862,30939,14532,54960,203293
