index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2014,15601,-2890,-5052,7659
Mar 2015,17805,-4133,-13956,-284
Mar 2016,20377,-7868,-11303,1206
Mar 2017,18083,2681,-12425,8339
Mar 2018,17366,15480,-39255,-6409
Mar 2019,23754,-10594,-10242,2918
Mar 2020,19300,-5925,-15547,-2172
Mar 2021,23980,-6678,-17565,-263
Mar 2022,34963,-2243,-28903,3817
Mar 2023,33065,-668,-34142,-1745
Mar 2024,35654,-13676,-26092,-4114
Mar 2025,39562,-19190,-19223,1149
