index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,39822.0,26189.0,13633.0,34.0,275.0,1333.0,2379.0,10196.0,29.0,7261.0,15.6
Jun 2022,38622.0,28425.0,10197.0,26.0,733.0,1206.0,2464.0,7260.0,23.0,5593.0,11.89
Sep 2022,36654.0,28955.0,7699.0,21.0,931.0,1642.0,2624.0,4364.0,38.0,2687.0,4.86
Dec 2022,34102.0,27035.0,7067.0,21.0,1619.0,1572.0,2720.0,4394.0,30.0,3091.0,6.63
Mar 2023,37930.0,28471.0,9459.0,25.0,-631.0,1805.0,2765.0,4258.0,26.0,3132.0,5.06
Jun 2023,33733.0,27313.0,6420.0,19.0,2326.0,2110.0,2550.0,4086.0,19.0,3308.0,7.1
Sep 2023,38945.0,27466.0,11479.0,29.0,1863.0,2523.0,2642.0,8177.0,111.0,-915.0,-4.8
Dec 2023,35541.0,27010.0,8531.0,24.0,779.0,2417.0,2788.0,4105.0,30.0,2868.0,5.42
Mar 2024,35509.0,26741.0,8768.0,25.0,385.0,2415.0,2743.0,3995.0,43.0,2275.0,3.68
Jun 2024,35764.0,25819.0,9945.0,28.0,934.0,2222.0,2731.0,5926.0,14.0,5095.0,9.7
Sep 2024,37634.0,27806.0,9828.0,26.0,3168.0,2667.0,2696.0,7633.0,27.0,5603.0,11.13
Dec 2024,39115.0,28011.0,11104.0,28.0,680.0,2442.0,2681.0,6661.0,27.0,4876.0,9.07
Mar 2025,40455.0,28989.0,11466.0,28.0,762.0,2583.0,2988.0,6657.0,25.0,4961.0,8.91
