index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,1268,31188,18537,15872,66865,27779,18490,1282,19314,66865
Mar 2015,1268,32754,18291,17355,69669,33976,13806,1272,20615,69669
Mar 2016,1268,35135,9052,13608,59063,29946,3688,9844,15584,59063
Mar 2017,1691,37614,6553,12433,58291,30092,4126,10125,13948,58291
Mar 2018,2255,39424,3876,15798,61353,30480,5938,10452,14482,61353
Mar 2019,2255,43749,2224,20199,68426,32700,9738,10722,15267,68426
Mar 2020,4510,44758,6912,18754,74934,38230,11666,9893,15145,74934
Mar 2021,4440,48742,7873,19975,81030,41160,13400,13058,13413,81030
Mar 2022,4440,59674,9216,23254,96584,44572,15490,16408,20114,96584
Mar 2023,6575,58352,17816,25062,107805,49697,16646,17248,24214,107805
Mar 2024,6575,70422,21794,25944,124735,55188,23627,21910,24010,124735
Mar 2025,6575,78422,21595,26556,133149,58836,27421,22765,24128,133149
