index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,27328.0,23064.0,4264.0,16.0,788.0,57.0,619.0,4375.0,21.0,3474.0,5.19
Jun 2022,37897.0,33350.0,4547.0,12.0,419.0,58.0,677.0,4230.0,23.0,3251.0,4.95
Sep 2022,38680.0,36777.0,1904.0,5.0,548.0,82.0,695.0,1675.0,22.0,1305.0,2.0
Dec 2022,35885.0,35403.0,482.0,1.0,999.0,120.0,699.0,662.0,40.0,398.0,0.63
Mar 2023,33207.0,32651.0,556.0,2.0,871.0,107.0,631.0,689.0,7.0,643.0,0.96
Jun 2023,32789.0,30128.0,2660.0,8.0,529.0,185.0,722.0,2283.0,21.0,1793.0,2.73
Sep 2023,32986.0,29405.0,3580.0,11.0,595.0,200.0,837.0,3138.0,22.0,2442.0,3.72
Dec 2023,34698.0,30490.0,4208.0,12.0,915.0,176.0,872.0,4075.0,22.0,3193.0,4.86
Mar 2024,32756.0,28908.0,3849.0,12.0,651.0,159.0,1241.0,3099.0,20.0,2474.0,3.75
Jun 2024,34738.0,29948.0,4790.0,14.0,685.0,209.0,1152.0,4114.0,23.0,3183.0,4.84
Sep 2024,33889.0,29952.0,3937.0,12.0,643.0,188.0,922.0,3470.0,22.0,2690.0,4.1
Dec 2024,36835.0,33665.0,3169.0,9.0,3211.0,169.0,939.0,5272.0,23.0,4084.0,6.21
Mar 2025,36442.0,32907.0,3535.0,10.0,672.0,182.0,786.0,3240.0,23.0,2506.0,3.79
