index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2015,3681.0,2887.0,794.0,22.0,31.0,30.0,149.0,645.0,33.0,448.0,3.2,19.0
Mar 2016,3686.0,2910.0,775.0,21.0,78.0,10.0,156.0,687.0,33.0,458.0,3.27,18.0
Mar 2017,3815.0,2851.0,964.0,25.0,108.0,1.0,167.0,904.0,33.0,606.0,4.33,20.0
Mar 2018,4535.0,3409.0,1126.0,25.0,153.0,2.0,181.0,1096.0,34.0,722.0,5.16,19.0
Mar 2019,5765.0,4506.0,1259.0,22.0,213.0,2.0,201.0,1269.0,34.0,842.0,6.02,20.0
Mar 2020,6485.0,4949.0,1536.0,24.0,293.0,20.0,252.0,1556.0,20.0,1249.0,8.92,16.0
Mar 2021,4941.0,3446.0,1495.0,30.0,240.0,22.0,290.0,1422.0,18.0,1173.0,8.38,21.0
Mar 2022,7710.0,5816.0,1894.0,25.0,401.0,25.0,317.0,1953.0,23.0,1502.0,10.73,26.0
Mar 2023,14133.0,12089.0,2044.0,14.0,469.0,27.0,363.0,2122.0,23.0,1640.0,11.71,56.0
Mar 2024,14000.0,11612.0,2388.0,17.0,596.0,28.0,414.0,2542.0,22.0,1983.0,14.18,32.0
Mar 2025,14928.0,12955.0,1973.0,13.0,695.0,10.0,476.0,2183.0,22.0,1713.0,12.27,90.0
