index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,2406.0,1905.0,500.0,21.0,147.0,5.0,75.0,567.0,24.0,431.0,3.08
Jun 2022,3194.0,2576.0,618.0,19.0,91.0,2.0,86.0,621.0,22.0,481.0,3.44
Sep 2022,3554.0,3026.0,528.0,15.0,121.0,3.0,91.0,554.0,23.0,427.0,3.05
Dec 2022,3711.0,3282.0,428.0,12.0,112.0,3.0,92.0,445.0,25.0,334.0,2.39
Mar 2023,3682.0,3221.0,461.0,13.0,139.0,3.0,94.0,503.0,21.0,398.0,2.84
Jun 2023,3407.0,2765.0,642.0,19.0,129.0,2.0,99.0,670.0,22.0,522.0,3.73
Sep 2023,3459.0,2802.0,657.0,19.0,152.0,2.0,102.0,704.0,22.0,553.0,3.95
Dec 2023,3556.0,2994.0,562.0,16.0,140.0,2.0,102.0,599.0,21.0,475.0,3.4
Mar 2024,3597.0,3076.0,521.0,14.0,161.0,3.0,111.0,569.0,24.0,433.0,3.1
Jun 2024,3521.0,2940.0,580.0,16.0,153.0,2.0,114.0,617.0,22.0,480.0,3.44
Sep 2024,3698.0,3163.0,535.0,14.0,174.0,2.0,119.0,588.0,23.0,454.0,3.25
Dec 2024,3759.0,3397.0,362.0,10.0,170.0,2.0,122.0,408.0,20.0,325.0,2.33
Mar 2025,3951.0,3455.0,496.0,13.0,198.0,4.0,121.0,570.0,20.0,453.0,3.25
