index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2022,1671.0,1415.0,256.0,15.0,32.0,2.0,59.0,227.0,24.0,172.0,17.42
Mar 2023,1610.0,1221.0,390.0,24.0,34.0,2.0,64.0,357.0,25.0,269.0,27.21
Jun 2023,1538.0,1017.0,521.0,34.0,39.0,3.0,62.0,496.0,26.0,368.0,37.3
Sep 2023,1571.0,1092.0,479.0,30.0,44.0,2.0,66.0,454.0,25.0,338.0,34.27
Dec 2023,1569.0,1120.0,449.0,29.0,48.0,3.0,68.0,426.0,26.0,317.0,32.11
Mar 2024,1613.0,1218.0,395.0,24.0,44.0,6.0,81.0,352.0,26.0,261.0,26.38
Jun 2024,1666.0,1229.0,437.0,26.0,36.0,3.0,83.0,386.0,25.0,289.0,29.24
Sep 2024,1786.0,1373.0,413.0,23.0,47.0,3.0,85.0,372.0,24.0,284.0,28.7
Dec 2024,1847.0,1523.0,325.0,18.0,42.0,3.0,91.0,272.0,19.0,221.0,22.4
Mar 2025,1964.0,1570.0,394.0,20.0,42.0,4.0,93.0,339.0,27.0,247.0,25.01
