index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,601,18648,1261,4567,25077,5130,1889,1888,16170,25077
Mar 2014,601,20080,10146,4571,35398,11201,2816,5223,16158,35398
Mar 2015,601,20900,9070,6549,37120,12676,3755,5573,15116,37120
Mar 2016,601,24577,9722,5344,40244,8678,1812,15052,14701,40244
Mar 2017,802,28718,14184,7600,51303,10550,1894,27461,11398,51303
Mar 2018,757,28273,12329,7353,48712,12320,988,26657,8747,48712
Mar 2019,1084,27890,15114,8430,52518,12471,1267,26451,12329,52518
Mar 2020,1084,22126,12743,20981,56936,15955,2368,25718,12894,56936
Mar 2021,1084,22582,19718,12151,55535,15969,3171,24010,12385,55535
Mar 2022,1084,29478,16721,13846,61129,16805,5900,27099,11325,61129
Mar 2023,1084,37397,18832,16866,74179,18098,11953,27924,16204,74179
Mar 2024,1084,47255,24040,20114,92494,20520,20028,34437,17509,92494
Sep 2024,1627,51050,27821,21375,101873,19308,24768,36597,21200,101873
