index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,6783.0,4585.0,2198.0,32.0,692.0,213.0,543.0,2134.0,29.0,1523.0,7.98
Mar 2022,8870.0,5422.0,3448.0,39.0,425.0,241.0,310.0,3321.0,24.0,2527.0,13.02
Jun 2022,10678.0,5804.0,4874.0,46.0,171.0,244.0,468.0,4333.0,25.0,3230.0,17.25
Sep 2022,8259.0,5555.0,2703.0,33.0,727.0,258.0,511.0,2662.0,21.0,2116.0,11.66
Dec 2022,9302.0,5394.0,3908.0,42.0,132.0,246.0,530.0,3264.0,23.0,2529.0,14.04
Mar 2023,7852.0,4549.0,3303.0,42.0,173.0,153.0,438.0,2885.0,31.0,1980.0,10.71
Jun 2023,6208.0,3932.0,2277.0,37.0,259.0,214.0,478.0,1843.0,24.0,1399.0,8.77
Sep 2023,7497.0,4027.0,3469.0,46.0,-1983.0,279.0,499.0,708.0,10.0,640.0,2.59
Dec 2023,9614.0,6171.0,3443.0,36.0,635.0,236.0,576.0,3266.0,20.0,2608.0,14.43
Mar 2024,9147.0,5886.0,3261.0,36.0,578.0,234.0,576.0,3028.0,23.0,2333.0,13.16
Jun 2024,8120.0,4978.0,3142.0,39.0,355.0,242.0,553.0,2701.0,25.0,2016.0,11.59
Sep 2024,7247.0,4711.0,2536.0,35.0,977.0,280.0,608.0,2626.0,21.0,2069.0,12.4
Dec 2024,8337.0,5795.0,2542.0,30.0,302.0,304.0,624.0,1917.0,24.0,1457.0,8.23
