index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,4278,148250,20686,80211,253424,119644,53385,2128,78267,253424
Mar 2014,4278,167874,49113,103711,324976,155923,72034,4746,92273,324976
Mar 2015,4278,176177,53944,103448,337847,179933,63393,4749,89771,337847
Mar 2016,4278,193536,45500,98459,341772,166277,57668,33387,84440,341772
Mar 2017,6417,187969,80029,170111,444525,211125,59042,70746,103612,444525
Mar 2018,6417,197602,106550,148664,459232,226058,61512,67335,104328,459232
Mar 2019,6290,210644,107742,167667,492343,230391,69056,66909,125987,492343
Mar 2020,6290,198814,129473,173787,508364,243892,83832,56755,123884,508364
Mar 2021,6290,214691,133187,187580,541748,243746,100309,60320,137372,541748
Mar 2022,6290,253213,121986,201771,583260,254402,106719,66642,155496,583260
Mar 2023,6290,274357,142255,190212,613115,250819,113945,78873,169478,613115
Mar 2024,6290,330780,153181,219523,709774,298454,116022,102207,193091,709774
Sep 2024,6290,345986,191489,213848,757614,350438,91497,106077,209602,757614
