index,0,1,2,3
Unnamed 0,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Mar 2013,39874,-41220,-6927,-8273
Mar 2014,53270,-63633,15225,4862
Mar 2015,33950,-30058,-10641,-6749
Mar 2016,46292,-38256,-8972,-935
Mar 2017,45780,-43815,-1867,99
Mar 2018,56792,-66798,9909,-97
Mar 2019,61458,-37132,-23324,1001
Mar 2020,70593,-53159,-16726,708
Mar 2021,47185,-39141,-8239,-195
Mar 2022,78248,-41197,-35790,1261
Mar 2023,86062,-74690,-12876,-1504
Mar 2024,99263,-57203,-45650,-3591
