index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,145673.0,124306.0,21367.0,15.0,2882.0,1388.0,6850.0,16011.0,27.0,11637.0,8.69
Mar 2022,155949.0,131900.0,24049.0,15.0,607.0,1491.0,7380.0,15784.0,24.0,12061.0,8.39
Jun 2022,182894.0,164041.0,18853.0,10.0,1619.0,1640.0,6611.0,12221.0,30.0,8581.0,9.49
Sep 2022,168656.0,155311.0,13346.0,8.0,2315.0,1993.0,4443.0,9224.0,26.0,6830.0,6.6
Dec 2022,169213.0,147346.0,21867.0,13.0,2807.0,2188.0,6784.0,15702.0,26.0,11665.0,9.13
Mar 2023,164067.0,143527.0,20539.0,13.0,-4786.0,2068.0,6744.0,6941.0,7.0,6478.0,3.57
Jun 2023,163824.0,133029.0,30795.0,19.0,3069.0,2364.0,7078.0,24422.0,27.0,17893.0,11.64
Sep 2023,147614.0,119534.0,28080.0,19.0,3673.0,3243.0,7079.0,21431.0,25.0,16171.0,10.89
Dec 2023,167357.0,146996.0,20360.0,12.0,4299.0,3203.0,7494.0,13962.0,25.0,10511.0,8.51
Mar 2024,166771.0,143545.0,23225.0,14.0,2549.0,2683.0,7863.0,15228.0,24.0,11527.0,8.03
Jun 2024,168025.0,146398.0,21627.0,13.0,3615.0,3616.0,8456.0,13170.0,26.0,9810.0,7.96
Sep 2024,158329.0,137834.0,20495.0,13.0,4163.0,3749.0,8209.0,12700.0,22.0,9878.0,8.17
Dec 2024,166097.0,141819.0,24278.0,15.0,2411.0,3670.0,9497.0,13522.0,28.0,9784.0,6.85
