index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,2940,195747,138761,91395,428843,141417,91494,60602,135330,428843
Mar 2015,2943,215556,168251,117736,504486,156458,166462,76451,105115,504486
Mar 2016,2948,228608,194714,172727,598997,184910,228697,84015,101375,598997
Mar 2017,2959,260750,217475,225618,706802,198526,324837,82899,100540,706802
Mar 2018,5922,287584,239843,277924,811273,403885,187022,82862,137504,811273
Mar 2019,5926,381186,307714,302804,997630,398374,179463,235635,184158,997630
Mar 2020,6339,442827,355133,358716,1163015,532658,109106,276767,244484,1163015
Mar 2021,6445,693727,278962,340931,1320065,541258,125953,364828,288026,1320065
Mar 2022,6765,772720,319158,399979,1498622,627798,172506,394264,304054,1498622
Mar 2023,6766,709106,451664,438346,1605882,724805,293752,235560,351765,1605882
Mar 2024,6766,786715,458991,502576,1755048,779985,338855,225672,410536,1755048
Mar 2025,13532,829668,369575,737346,1950121,1092041,169710,242381,445989,1950121
