index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,29,2577,3435,1232,7273,2639,219,22,4393,7273
Mar 2014,29,3721,3769,1970,9490,2722,310,20,6439,9490
Mar 2015,29,5127,4451,3303,12910,3706,420,20,8765,12910
Mar 2016,59,7229,5041,3568,15896,4180,848,123,10745,15896
Mar 2017,59,9313,3364,3464,16200,4834,1458,246,9662,16200
Mar 2018,59,11622,4770,4492,20942,6521,1583,312,12527,20942
Mar 2019,59,13832,6967,5414,26271,8475,1668,360,15768,26271
Mar 2020,59,16766,5826,6113,28765,9396,1986,555,16827,28765
Mar 2021,59,21871,5339,6147,33416,9374,3062,591,20390,33416
Mar 2022,59,24517,2851,6211,33638,10532,3747,997,18362,33638
Mar 2023,59,26781,5286,7379,39505,11024,5390,543,22549,39505
Mar 2024,59,29784,6648,8227,44717,14493,3869,372,25983,44717
Sep 2024,58,30820,8427,8789,48094,15436,3497,325,28837,48094
