index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,5842.0,4965.0,877.0,15.0,12.0,267.0,249.0,374.0,22.0,291.0,5.05,15.0
Mar 2014,8089.0,5951.0,2137.0,26.0,18.0,310.0,313.0,1533.0,24.0,1169.0,20.12,7.0
Mar 2015,12103.0,9524.0,2579.0,21.0,81.0,160.0,333.0,2168.0,28.0,1571.0,26.98,8.0
Mar 2016,13772.0,10579.0,3193.0,23.0,200.0,257.0,392.0,2744.0,26.0,2024.0,34.61,7.0
Mar 2017,14910.0,11469.0,3441.0,23.0,115.0,67.0,428.0,3061.0,25.0,2301.0,39.29,6.0
Mar 2018,16463.0,12691.0,3772.0,23.0,105.0,78.0,558.0,3241.0,25.0,2423.0,41.36,6.0
Mar 2019,19564.0,15612.0,3952.0,20.0,70.0,263.0,668.0,3091.0,24.0,2364.0,40.36,6.0
Mar 2020,23099.0,18249.0,4849.0,21.0,166.0,305.0,967.0,3743.0,24.0,2844.0,48.56,6.0
Mar 2021,24775.0,19497.0,5278.0,21.0,3195.0,74.0,1055.0,7344.0,27.0,5334.0,91.05,4.0
Mar 2022,23455.0,19060.0,4396.0,19.0,152.0,49.0,1127.0,3373.0,22.0,2647.0,45.2,20.0
Mar 2023,24855.0,21148.0,3707.0,15.0,291.0,140.0,1245.0,2612.0,26.0,1928.0,32.9,23.0
Mar 2024,29002.0,23176.0,5826.0,20.0,366.0,290.0,1522.0,4380.0,28.0,3169.0,54.15,8.0
TTM,30922.0,24499.0,6422.0,21.0,530.0,432.0,1559.0,4961.0,,3488.0,59.59,
