index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,6002.0,4993.0,1009.0,17.0,100.0,16.0,299.0,794.0,24.0,604.0,10.32
Mar 2022,5809.0,4839.0,970.0,17.0,-114.0,9.0,254.0,594.0,3.0,576.0,9.84
Jun 2022,6236.0,5303.0,933.0,15.0,41.0,15.0,280.0,679.0,23.0,520.0,8.88
Sep 2022,5739.0,4950.0,790.0,14.0,57.0,25.0,298.0,523.0,22.0,410.0,6.99
Dec 2022,6407.0,5453.0,954.0,15.0,93.0,45.0,321.0,680.0,28.0,491.0,8.38
Mar 2023,6473.0,5477.0,996.0,15.0,135.0,56.0,346.0,730.0,31.0,506.0,8.64
Jun 2023,6851.0,5702.0,1149.0,17.0,47.0,57.0,327.0,812.0,30.0,570.0,9.74
Sep 2023,7219.0,5846.0,1373.0,19.0,188.0,68.0,418.0,1076.0,30.0,752.0,12.92
Dec 2023,7352.0,5753.0,1599.0,22.0,163.0,76.0,423.0,1262.0,26.0,940.0,15.98
Mar 2024,7580.0,5920.0,1660.0,22.0,14.0,89.0,354.0,1230.0,26.0,907.0,15.51
Jun 2024,7567.0,5949.0,1618.0,21.0,221.0,111.0,404.0,1324.0,31.0,918.0,15.69
Sep 2024,7796.0,6230.0,1566.0,20.0,136.0,113.0,382.0,1207.0,32.0,817.0,13.95
Dec 2024,7979.0,6401.0,1578.0,20.0,159.0,118.0,419.0,1200.0,30.0,846.0,14.44
