index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,161,9890,1248,2102,13400,6496,442,709,5753,13400
Mar 2015,161,10641,1703,3166,15670,6830,581,640,7620,15670
Mar 2016,161,11356,5202,4331,21049,9368,2061,759,8862,21049
Mar 2017,161,12383,4113,4213,20869,9492,1683,973,8721,20869
Mar 2018,161,14068,4098,4346,22673,9950,981,1259,10483,22673
Mar 2019,161,14851,4316,4433,23762,9608,676,2554,10923,23762
Mar 2020,161,15602,2816,4843,23423,9683,825,1471,11444,23423
Mar 2021,161,18165,2014,4514,24855,9516,969,2710,11661,24855
Mar 2022,161,20680,1056,4960,26857,9683,766,2551,13857,26857
Mar 2023,161,23246,803,5089,29300,9160,1093,3662,15384,29300
Mar 2024,161,26545,559,5267,32533,9607,1153,5449,16323,32533
Mar 2025,162,31032,438,5755,37387,10360,1213,7933,17882,37387
