index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,10173.0,8026.0,2147.0,21.0,251.0,146.0,373.0,1880.0,25.0,1404.0,17.29,12.0
Mar 2015,11345.0,9183.0,2163.0,19.0,164.0,168.0,505.0,1654.0,24.0,1229.0,14.71,14.0
Mar 2016,13790.0,11310.0,2480.0,18.0,208.0,207.0,754.0,1727.0,19.0,1383.0,16.93,12.0
Mar 2017,14394.0,11898.0,2496.0,17.0,208.0,159.0,1323.0,1222.0,15.0,1035.0,12.51,16.0
Mar 2018,15156.0,12329.0,2826.0,19.0,280.0,114.0,1323.0,1669.0,15.0,1417.0,17.52,17.0
Mar 2019,16362.0,13265.0,3097.0,19.0,477.0,168.0,1326.0,2079.0,27.0,1492.0,18.96,16.0
Mar 2020,17132.0,13926.0,3206.0,19.0,344.0,197.0,1175.0,2178.0,29.0,1500.0,19.18,21.0
Mar 2021,19160.0,14907.0,4252.0,22.0,266.0,161.0,1068.0,3290.0,27.0,2389.0,29.82,17.0
Mar 2022,21763.0,17211.0,4553.0,21.0,99.0,106.0,1052.0,3493.0,27.0,2547.0,31.19,16.0
Mar 2023,22753.0,17726.0,5027.0,22.0,293.0,110.0,1172.0,4038.0,30.0,2833.0,34.71,24.0
Mar 2024,25774.0,19483.0,6291.0,24.0,552.0,90.0,1051.0,5702.0,27.0,4154.0,51.05,25.0
Mar 2025,27548.0,20420.0,7128.0,26.0,862.0,62.0,1107.0,6821.0,22.0,5269.0,65.28,25.0
