index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,5260.0,4511.0,750.0,14.0,7.0,18.0,290.0,448.0,16.0,371.0,4.49
Jun 2022,5375.0,4232.0,1143.0,21.0,103.0,18.0,254.0,975.0,28.0,706.0,8.51
Sep 2022,5829.0,4526.0,1302.0,22.0,123.0,26.0,299.0,1100.0,28.0,797.0,9.78
Dec 2022,5810.0,4403.0,1408.0,24.0,114.0,32.0,272.0,1218.0,34.0,808.0,9.92
Mar 2023,5739.0,4566.0,1174.0,20.0,-48.0,34.0,346.0,745.0,30.0,522.0,6.51
Jun 2023,6329.0,4835.0,1494.0,24.0,136.0,16.0,239.0,1375.0,28.0,998.0,12.33
Sep 2023,6678.0,4944.0,1734.0,26.0,176.0,26.0,290.0,1594.0,28.0,1155.0,14.01
Dec 2023,6604.0,4856.0,1748.0,26.0,-10.0,30.0,233.0,1474.0,28.0,1068.0,13.08
Mar 2024,6163.0,4847.0,1316.0,21.0,249.0,18.0,288.0,1259.0,26.0,932.0,11.63
Jun 2024,6694.0,4978.0,1716.0,26.0,160.0,18.0,247.0,1611.0,27.0,1175.0,14.58
Sep 2024,7051.0,5165.0,1886.0,27.0,191.0,15.0,272.0,1789.0,27.0,1305.0,16.13
Dec 2024,7073.0,5084.0,1989.0,28.0,222.0,15.0,280.0,1916.0,17.0,1575.0,19.45
Mar 2025,6730.0,5192.0,1538.0,23.0,289.0,14.0,309.0,1504.0,19.0,1214.0,15.13
