index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,27,2474,33,605,3139,909,303,408,1519,3139
Mar 2014,27,2937,18,729,3710,1222,144,502,1842,3710
Mar 2015,27,3469,27,883,4405,1309,218,733,2145,4405
Mar 2016,53,4240,42,562,4898,1439,264,803,2392,4898
Mar 2017,53,5304,36,762,6155,1559,444,1631,2521,6155
Mar 2018,53,5872,63,797,6785,1996,120,1889,2780,6785
Mar 2019,53,6904,106,973,8036,2088,492,1946,3511,8036
Mar 2020,53,7257,39,1183,8531,2782,920,971,3858,8531
Mar 2021,53,9242,5,1471,10771,3704,711,0,6356,10771
Mar 2022,53,11675,4,1628,13360,4325,470,72,8493,13360
Mar 2023,53,12714,4,1654,14425,4722,212,77,9414,14425
Mar 2024,53,13518,3,1886,15460,4739,778,82,9861,15460
Sep 2024,53,13664,8,1861,15586,4658,1316,85,9527,15586
