index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,2493.0,1396.0,1097.0,44.0,17.0,0.0,80.0,1034.0,13.0,902.0,33.99
Mar 2022,2518.0,1414.0,1104.0,44.0,52.0,0.0,81.0,1076.0,17.0,895.0,33.7
Jun 2022,2255.0,1406.0,849.0,38.0,88.0,0.0,85.0,852.0,18.0,702.0,26.44
Sep 2022,1855.0,1234.0,621.0,33.0,80.0,0.0,86.0,615.0,20.0,493.0,18.57
Dec 2022,1708.0,1299.0,409.0,24.0,113.0,0.0,87.0,435.0,30.0,306.0,11.53
Mar 2023,1951.0,1464.0,487.0,25.0,66.0,0.0,87.0,466.0,31.0,321.0,12.09
Jun 2023,1778.0,1274.0,504.0,28.0,81.0,0.0,93.0,492.0,28.0,356.0,13.41
Sep 2023,1909.0,1430.0,479.0,25.0,86.0,1.0,95.0,469.0,26.0,348.0,13.11
Dec 2023,1855.0,1366.0,489.0,26.0,95.0,0.0,95.0,489.0,27.0,358.0,13.49
Mar 2024,2303.0,1572.0,731.0,32.0,79.0,2.0,95.0,713.0,25.0,538.0,20.27
Jun 2024,2118.0,1496.0,622.0,29.0,79.0,0.0,97.0,604.0,29.0,430.0,16.2
Sep 2024,2338.0,1622.0,716.0,31.0,106.0,1.0,99.0,722.0,29.0,510.0,19.21
Dec 2024,2319.0,1576.0,743.0,32.0,82.0,0.0,99.0,726.0,19.0,589.0,22.19
