index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,85,7780,4477,3563,15906,4641,639,1067,9559,15906
Mar 2015,85,9768,4314,4290,18457,5377,529,2248,10303,18457
Mar 2016,85,12484,3352,4408,20330,6563,772,3833,9162,20330
Mar 2017,83,12179,4918,4474,21654,6931,3324,2110,9290,21654
Mar 2018,83,12489,5071,4706,22349,6968,3470,2298,9612,22349
Mar 2019,83,13941,3838,4557,22418,7191,2934,2587,9707,22418
Mar 2020,83,15516,2210,5414,23223,6850,1535,2678,12160,23223
Mar 2021,83,17558,3031,5915,26588,8206,1565,2212,14605,26588
Mar 2022,83,19129,3384,7149,29746,8122,1293,2616,17715,29746
Mar 2023,83,23203,1347,7576,32209,9219,1030,4986,16974,32209
Mar 2024,83,28171,2002,8523,38780,10426,1419,4930,22004,38780
Mar 2025,83,33466,4677,11200,49427,18293,2399,4051,24684,49427
