index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,13415.0,10164.0,3251.0,24.0,170.0,127.0,648.0,2646.0,26.0,1963.0,23.08,16.0
Mar 2015,15023.0,11515.0,3508.0,23.0,260.0,108.0,760.0,2900.0,19.0,2336.0,27.43,15.0
Mar 2016,15568.0,11983.0,3585.0,23.0,295.0,83.0,939.0,2859.0,26.0,2131.0,24.98,16.0
Mar 2017,14196.0,11724.0,2472.0,17.0,172.0,63.0,1027.0,1554.0,19.0,1292.0,15.59,26.0
Mar 2018,14281.0,11930.0,2351.0,16.0,155.0,79.0,1077.0,1350.0,32.0,947.0,11.41,35.0
Mar 2019,15448.0,12270.0,3178.0,21.0,381.0,89.0,1135.0,2336.0,17.0,1950.0,23.49,17.0
Mar 2020,17517.0,15040.0,2477.0,14.0,670.0,98.0,1163.0,1886.0,-7.0,2026.0,24.38,21.0
Mar 2021,19048.0,15173.0,3874.0,20.0,335.0,97.0,1229.0,2884.0,32.0,1952.0,23.47,21.0
Mar 2022,21545.0,17778.0,3768.0,17.0,555.0,96.0,1165.0,3061.0,29.0,2182.0,26.23,23.0
Mar 2023,24670.0,18200.0,6470.0,26.0,971.0,143.0,1250.0,6048.0,25.0,4507.0,54.14,15.0
Mar 2024,28011.0,20078.0,7933.0,28.0,909.0,171.0,1470.0,7201.0,23.0,5578.0,66.87,12.0
Mar 2025,32644.0,24097.0,8547.0,26.0,1119.0,283.0,1704.0,7680.0,25.0,5725.0,67.77,12.0
