index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,90,5115,1164,2475,8843,3000,311,2,5530,8843
Mar 2014,90,6842,654,2550,10135,3356,304,178,6297,10135
Mar 2015,90,8784,537,3642,13054,4368,576,1658,6451,13054
Mar 2016,90,11073,7178,3957,22298,8717,2702,16,10862,22298
Mar 2017,90,13407,7966,4749,26212,11033,2133,2136,10910,26212
Mar 2018,90,13487,7143,5300,26020,10362,2598,262,12798,26020
Mar 2019,90,13652,8496,5423,27661,11087,1640,2295,12639,27661
Mar 2020,91,12446,6305,5968,24810,7938,940,2374,13557,24810
Mar 2021,91,13712,5129,4498,23430,7881,1066,2455,12028,23430
Mar 2022,91,12062,4158,5340,21651,7382,1146,900,12224,21651
Mar 2023,91,12374,4542,5794,22800,8355,1238,517,12690,22800
Mar 2024,91,14199,2922,6539,23751,8878,773,1075,13026,23751
Sep 2024,91,15551,3442,6398,25482,9062,635,1575,14209,25482
