index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,4161.0,3791.0,370.0,9.0,34.0,33.0,203.0,167.0,-229.0,549.0,12.01
Mar 2022,3883.0,3615.0,268.0,7.0,16.0,41.0,327.0,-85.0,502.0,-512.0,-11.4
Jun 2022,3744.0,3512.0,232.0,6.0,6.0,43.0,193.0,2.0,3925.0,-87.0,-1.96
Sep 2022,4146.0,3693.0,453.0,11.0,15.0,55.0,203.0,210.0,36.0,134.0,2.85
Dec 2022,4322.0,3790.0,533.0,12.0,18.0,84.0,220.0,246.0,36.0,158.0,3.37
Mar 2023,4430.0,3852.0,578.0,13.0,37.0,93.0,264.0,258.0,6.0,242.0,5.19
Jun 2023,4814.0,3958.0,856.0,18.0,23.0,86.0,235.0,559.0,19.0,453.0,9.94
Sep 2023,5039.0,4121.0,918.0,18.0,40.0,81.0,248.0,630.0,21.0,495.0,10.76
Dec 2023,5197.0,4159.0,1038.0,20.0,29.0,74.0,257.0,736.0,16.0,619.0,13.47
Mar 2024,4961.0,3964.0,997.0,20.0,29.0,71.0,457.0,498.0,26.0,368.0,7.89
Jun 2024,5600.0,4359.0,1241.0,22.0,68.0,68.0,248.0,993.0,19.0,806.0,17.58
Sep 2024,5673.0,4332.0,1340.0,24.0,42.0,71.0,257.0,1055.0,19.0,859.0,18.69
Dec 2024,5768.0,4412.0,1356.0,24.0,54.0,67.0,271.0,1071.0,20.0,859.0,18.74
