index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,104,14886,260,5128,20377,5647,563,2412,11756,20377
Mar 2014,207,18318,2561,8009,29095,6817,842,2786,18650,29095
Mar 2015,207,25431,8996,14089,48723,12682,2039,2716,31286,48723
Mar 2016,241,32742,8497,13948,55428,15872,2175,1830,35550,55428
Mar 2017,240,36400,9832,14624,61095,17675,2801,1192,39427,61095
Mar 2018,240,38074,10385,15598,64297,18853,2465,7143,35837,64297
Mar 2019,240,41169,10514,12666,64590,21837,1411,7903,33439,64590
Mar 2020,240,45025,8315,14615,68194,22847,1220,10143,33984,68194
Mar 2021,240,46223,3869,17291,67622,21553,1567,9612,34890,67622
Mar 2022,240,47771,1290,20474,69776,22665,1287,12849,32975,69776
Mar 2023,240,55755,6886,17831,80712,24065,4973,14824,36849,80712
Mar 2024,240,63427,3274,18367,85308,23211,5354,15026,41717,85308
Sep 2024,240,68875,2572,16429,88116,28318,1150,17744,40904,88116
