index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2013,11131.0,6346.0,4784.0,43.0,-90.0,43.0,336.0,4315.0,20.0,3469.0,14.4,9.0
Mar 2014,16080.0,9078.0,7003.0,44.0,-1968.0,44.0,409.0,4581.0,15.0,3879.0,15.17,10.0
Mar 2015,27392.0,19498.0,7894.0,29.0,283.0,579.0,1195.0,6403.0,14.0,5476.0,21.92,14.0
Mar 2016,28487.0,20313.0,8174.0,29.0,-42.0,523.0,1038.0,6571.0,14.0,5658.0,18.89,5.0
Mar 2017,31578.0,21476.0,10102.0,32.0,610.0,400.0,1265.0,9048.0,13.0,7846.0,29.03,12.0
Mar 2018,26489.0,20858.0,5631.0,21.0,-135.0,518.0,1500.0,3479.0,26.0,2542.0,8.73,23.0
Mar 2019,29066.0,22689.0,6377.0,22.0,-258.0,555.0,1753.0,3810.0,16.0,3208.0,11.11,25.0
Mar 2020,32838.0,25855.0,6983.0,21.0,382.0,303.0,2053.0,5010.0,16.0,4172.0,15.69,25.0
Mar 2021,33498.0,25028.0,8470.0,25.0,-3449.0,141.0,2080.0,2799.0,18.0,2272.0,12.1,62.0
Mar 2022,38654.0,28397.0,10258.0,27.0,-3505.0,127.0,2144.0,4481.0,24.0,3389.0,13.64,73.0
Mar 2023,43886.0,32235.0,11650.0,27.0,459.0,172.0,2529.0,9408.0,9.0,8513.0,35.32,33.0
Mar 2024,48497.0,35479.0,13018.0,27.0,865.0,238.0,2557.0,11088.0,13.0,9610.0,39.91,34.0
TTM,51602.0,37012.0,14591.0,28.0,1540.0,256.0,2562.0,13313.0,,11470.0,47.65,
