index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Dec 2021,9863.0,7257.0,2606.0,26.0,433.0,19.0,554.0,2466.0,14.0,2126.0,8.58
Mar 2022,9447.0,7106.0,2340.0,25.0,-3822.0,37.0,556.0,-2076.0,7.0,-2227.0,-9.49
Jun 2022,10762.0,7877.0,2884.0,27.0,2.0,14.0,588.0,2285.0,8.0,2093.0,8.59
Sep 2022,10952.0,7996.0,2957.0,27.0,85.0,19.0,610.0,2412.0,6.0,2256.0,9.43
Dec 2022,11241.0,8237.0,3004.0,27.0,174.0,46.0,660.0,2471.0,11.0,2181.0,9.03
Mar 2023,10931.0,8129.0,2802.0,26.0,202.0,93.0,672.0,2240.0,10.0,1983.0,8.27
Jun 2023,11941.0,8609.0,3332.0,28.0,-118.0,81.0,651.0,2481.0,19.0,2006.0,8.43
Sep 2023,12192.0,9013.0,3179.0,26.0,294.0,49.0,633.0,2791.0,14.0,2385.0,9.9
Dec 2023,12381.0,8904.0,3477.0,28.0,180.0,35.0,622.0,3000.0,14.0,2561.0,10.52
Mar 2024,11983.0,8948.0,3035.0,25.0,504.0,74.0,650.0,2816.0,5.0,2659.0,11.06
Jun 2024,12653.0,9045.0,3608.0,29.0,533.0,62.0,655.0,3424.0,16.0,2861.0,11.82
Sep 2024,13291.0,9352.0,3939.0,30.0,354.0,69.0,626.0,3598.0,16.0,3037.0,12.67
Dec 2024,13675.0,9666.0,4009.0,29.0,149.0,52.0,631.0,3476.0,16.0,2913.0,12.1
