index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2013,102,2842,2918,1512,7374,3026,736,114,3498,7374
Mar 2014,102,3337,2700,1847,7986,3124,892,87,3885,7986
Mar 2015,102,4149,2651,2144,9047,3352,798,154,4743,9047
Mar 2016,102,5597,2442,2208,10350,3748,951,416,5235,10350
Mar 2017,102,6858,5207,2937,15104,5755,1543,435,7371,15104
Mar 2018,102,8642,5407,3632,17783,6483,1527,746,9028,17783
Mar 2019,102,10284,7899,4945,23231,12164,837,674,9556,23231
Mar 2020,102,10273,7986,5115,23477,12230,742,765,9740,23477
Mar 2021,102,12890,4608,6165,23765,12133,783,830,10019,23765
Mar 2022,102,16897,4221,6421,27642,12188,726,3288,11439,27642
Mar 2023,101,17415,1195,6851,25562,11521,1201,1547,11294,25562
Mar 2024,101,19729,804,8201,28834,12368,2423,1220,12822,28834
Sep 2024,101,21724,190,9431,31446,14304,1051,2596,13495,31446
